genre,interpret,album,release_year,songtitle,decade
Pop,Adel Tawil,Lieder,2013,Immer da,2010
Pop,Adel Tawil,Lieder,2013,Wenn Du liebst,2010
Pop,Adel Tawil,Lieder,2013,Lieder,2010
Pop,Adel Tawil,Lieder,2013,Weinen,2010
Pop,Adel Tawil,Lieder,2013,Unter Wasser,2010
Pop,Adel Tawil,Lieder,2013,Kartenhaus,2010
Pop,Adel Tawil,Lieder,2013,Aschenflug,2010
Pop,Adel Tawil,Lieder,2013,Zuhause,2010
Pop,Adel Tawil,Lieder,2013,Herzschrittmacher,2010
Pop,Adel Tawil,Lieder,2013,Graffiti Love,2010
Pop,Adel Tawil,Lieder,2013,Auf Sand gebaut,2010
Pop,Adel Tawil,Lieder,2013,Schnee,2010
Pop,Adel Tawil,Lieder,2013,Dunkelheit,2010
Pop,Adel Tawil,Lieder,2013,Neujahr,2010
Pop,Andreas Bourani,Hey,2014,Wieder am Leben,2010
Pop,Andreas Bourani,Hey,2014,Auf uns,2010
Pop,Andreas Bourani,Hey,2014,Alles beim Alten,2010
Pop,Andreas Bourani,Hey,2014,Hey,2010
Pop,Andreas Bourani,Hey,2014,Ultraleicht,2010
Pop,Andreas Bourani,Hey,2014,Nimm meine Hand,2010
Pop,Andreas Bourani,Hey,2014,Auf anderen Wegen,2010
Pop,Andreas Bourani,Hey,2014,Delirium,2010
Pop,Andreas Bourani,Hey,2014,Füreinander gemacht,2010
Pop,Andreas Bourani,Hey,2014,Ein Ende nach dem andern,2010
Pop,Andreas Bourani,Hey,2014,Was tut dir gut,2010
Pop,Andreas Bourani,Hey,2014,Sein,2010
Pop,Annett Louisan,Unausgesprochen,2005,Torsten Schmidt,2000
Pop,Annett Louisan,Unausgesprochen,2005,Chancenlos,2000
Pop,Annett Louisan,Unausgesprochen,2005,Gedacht ich sage Nein,2000
Pop,Annett Louisan,Unausgesprochen,2005,Eve,2000
Pop,Annett Louisan,Unausgesprochen,2005,Läuft alles perfekt,2000
Pop,Annett Louisan,Unausgesprochen,2005,Er gehörte mal mir,2000
Pop,Annett Louisan,Unausgesprochen,2005,Die Lösung,2000
Pop,Annett Louisan,Unausgesprochen,2005,Der den ich will,2000
Pop,Annett Louisan,Unausgesprochen,2005,Vielleicht,2000
Pop,Annett Louisan,Unausgesprochen,2005,Widder wider Willen,2000
Pop,Annett Louisan,Unausgesprochen,2005,Beerdigung,2000
Pop,Annett Louisan,Unausgesprochen,2005,Ausgesprochen unausgesprochen,2000
Pop,Annett Louisan,Unausgesprochen,2005,Wer bin ich wirklich,2000
Pop,Annett Louisan,Unausgesprochen,2005,Fettnäpfchenwetthüpfen,2000
Pop,Annett Louisan,Das Optimale Leben,2007,Das alles wär nie passiert,2000
Pop,Annett Louisan,Das Optimale Leben,2007,Kleine Zwischenfälle,2000
Pop,Annett Louisan,Das Optimale Leben,2007,Er,2000
Pop,Annett Louisan,Das Optimale Leben,2007,Die Wahrheit,2000
Pop,Annett Louisan,Das Optimale Leben,2007,Wenn man sich nicht mehr liebt,2000
Pop,Annett Louisan,Das Optimale Leben,2007,Die sein,2000
Pop,Annett Louisan,Das Optimale Leben,2007,Mein innerer Schweinehund,2000
Pop,Annett Louisan,Das Optimale Leben,2007,Gendefekt,2000
Pop,Annett Louisan,Das Optimale Leben,2007,Unbekümmert,2000
Pop,Annett Louisan,Das Optimale Leben,2007,Rosenkrieg,2000
Pop,Annett Louisan,Das Optimale Leben,2007,Dings,2000
Pop,Annett Louisan,Das Optimale Leben,2007,Ende Dezember,2000
Pop,Annett Louisan,Das Optimale Leben,2007,Der kleine Unterschied,2000
Pop,Annett Louisan,Teilzeithippie,2008,Das schlechte Gewissen,2000
Pop,Annett Louisan,Teilzeithippie,2008,Sexy Loverboy,2000
Pop,Annett Louisan,Teilzeithippie,2008,Gekommen um zu sagen,2000
Pop,Annett Louisan,Teilzeithippie,2008,Die Siezgelegenheit,2000
Pop,Annett Louisan,Teilzeithippie,2008,Die nächste Liebe meines Lebens,2000
Pop,Annett Louisan,Teilzeithippie,2008,Wir nicht,2000
Pop,Annett Louisan,Teilzeithippie,2008,Drück die 1,2000
Pop,Annett Louisan,Teilzeithippie,2008,Teilzeithippie,2000
Pop,Annett Louisan,Teilzeithippie,2008,Gedanken lesen,2000
Pop,Annett Louisan,Teilzeithippie,2008,Ich bin dagegen,2000
Pop,Annett Louisan,Teilzeithippie,2008,Je später der Abend,2000
